x_m,y_m,psi_rad,v_mps,v_mps,s_m,ey_m,epsi_rad,a_mps2,delta_rad,t_s
5.4509932713738,0.8073989573964333,0.4679768556818275,9.737242404719954,9.737242404719954,41.59717904518371,0.23287938326399665,-2.9322375153858463e-05,0.9999999443970695,8.813087165141584e-05,4.857115271839858
5.6440558173303605,0.9204334357799313,0.62213380579108,9.616169355935224,9.616169355935224,41.85544267955007,0.23287938817373077,2.9367058140340505e-05,0.9999999422248884,-9.221966921902155e-05,4.879825681940891
5.808194490119655,1.0623129115097476,0.8020287080079377,9.46699454021987,9.46699454021987,42.11357134386766,0.23287939166479307,-2.9333818781594827e-05,0.9999999391804137,9.789368430204993e-05,4.901840988398294
5.943013428823441,1.2291118112345885,0.9887582326224044,9.286838131596339,9.286838131596339,42.370881262641724,0.23287939386421375,2.935605269375059e-05,0.9999999347462823,-0.00010610684226241598,4.922940738275465
6.039282497517806,1.4106345616321003,1.2082345251202715,9.074784290550205,9.074784290550205,42.62685083809045,0.23287939531084137,-2.9340203549879467e-05,0.9999999286303682,0.0001174506928244633,4.94282552851754
6.086264203208964,1.598505764873451,1.4797227303262823,8.83548117512921,8.83548117512921,42.88152054984487,0.23287939612032554,2.935002135138111e-05,0.9999999221901913,-0.00013018740874013327,4.961240876844136
6.0763705543602144,1.7811559073079295,1.7986982540769547,8.580321088670871,8.580321088670871,43.1354398153114,0.23287939649342437,-2.9345005928031284e-05,0.9999999202303453,0.00013695765472368447,4.978327881406656
6.008522263384941,1.9437713090010007,2.147734653609538,8.321033624607544,8.321033624607544,43.38872734445408,0.2328793964993508,2.934508974495039e-05,0.9999999267794071,-0.00013078018491050736,4.99506332391656
5.886154535645573,2.072916032394573,2.492947311537462,8.066443760999652,8.066443760999652,43.64209674193985,0.23287939612503508,-2.9350144420339757e-05,0.9999999379768016,0.00011646970268479863,5.013140481708153
5.715489637959602,2.160649527303784,2.7805624084596596,7.83129232089682,7.83129232089682,43.89679764115547,0.23287939508432628,2.933762712136892e-05,0.9999999480238312,-0.00010284464728034638,5.034061258207283
5.508212825155982,2.2103621117632617,2.9802902306826518,7.634438596966801,7.634438596966801,44.153993797260505,0.23287939279522743,-2.936193390298582e-05,0.9999999551286054,9.287850510832551e-05,5.058419896370729
5.276565205640919,2.2291681480774157,3.104118972540572,7.48664157505716,7.48664157505716,44.41359299771774,0.23287938762392796,2.9312322286233528e-05,0.9999999597508834,-8.6314931357285e-05,5.085994539859871
5.033495183295897,2.2270166535869373,-3.105837669747695,7.3876148031106785,7.3876148031106785,44.67399804832449,0.23287937652265406,-2.941121461707314e-05,0.9999999626758773,8.171207818689853e-05,5.116183163992898
4.7849344935786595,2.211179434059151,-3.060675437285615,7.330822297074714,7.330822297074714,44.9337538226567,0.23287934735195273,2.9164593127772212e-05,0.99999996449252,-7.91629076013057e-05,5.148328475875831
4.532209195029639,2.1861790465207624,-3.043028047503747,7.308087462790208,7.308087462790208,45.19253881576969,0.23287928060579727,-2.970852813950902e-05,0.9999999655787923,7.264192009267297e-05,5.181858308800533
4.27160987856172,2.16041824638155,-3.0637370613244204,7.311796760350863,7.311796760350863,45.45009695325439,0.2328787807283583,2.5739532706196394e-05,0.9999999661702804,-0.01614235855568128,5.2163170151050675
4.010925547931057,2.1470954378226708,-3.0860034944125903,7.335487416864474,7.335487416864474,45.70792833282617,0.23127480035181755,-0.012527478522563836,0.9999999664100812,-0.010007556916153959,5.251354829318786
3.7521692296200566,2.1308692505667075,-3.0956907884822993,7.3737721418038715,7.3737721418038715,45.9667163231723,0.22699343962086083,-0.020411548002959717,0.9999999663756877,-0.0016749920800366877,5.286702522344342
