x_m,y_m,w_tr_right_m,w_tr_left_m
6.930748,-11.091248,1.5992,1.5992
6.882294,-11.067407,1.5500,1.5500
6.833377,-11.044355,1.5598,1.5598
6.783081,-11.022099,1.5697,1.5697
6.732347,-11.000644,1.5295,1.5295
6.681246,-10.980860,1.5394,1.5394
6.629853,-10.961765,1.4992,1.4992
6.578245,-10.943358,1.5000,1.5000
6.526504,-10.925634,1.5000,1.5000
6.473727,-10.908586,1.4598,1.4598
6.420869,-10.893075,1.4697,1.4697
6.368015,-10.878105,1.4795,1.4795
6.315255,-10.863665,1.4394,1.4394
6.262680,-10.850608,1.4492,1.4492
6.209401,-10.837936,1.4500,1.4500
6.156381,-10.825628,1.4598,1.4598
6.103720,-10.813666,1.4197,1.4197
6.051516,-10.802893,1.4295,1.4295
5.999872,-10.792302,1.4394,1.4394
5.947912,-10.781867,1.4492,1.4492
5.896609,-10.771557,1.4500,1.4500
5.845089,-10.761339,1.4000,1.4000
5.794330,-10.751180,1.4098,1.4098
5.743460,-10.741910,1.4295,1.4295
5.693460,-10.732507,1.4394,1.4394
5.643460,-10.722930,1.4492,1.4492
5.593460,-10.713135,1.4000,1.4000
5.543460,-10.703076,1.4098,1.4098
5.493460,-10.692703,1.4197,1.4197
5.443460,-10.683819,1.4295,1.4295
5.393460,-10.674519,1.4394,1.4394
5.343460,-10.664752,1.3992,1.3992
5.293460,-10.655446,1.4000,1.4000
5.243460,-10.646548,1.4000,1.4000
5.193460,-10.637016,1.4098,1.4098
5.143460,-10.627778,1.4197,1.4197
5.093460,-10.617905,1.3795,1.3795
5.043460,-10.609192,1.3894,1.3894
4.993460,-10.599727,1.3992,1.3992
4.943460,-10.589447,1.4000,1.4000
4.893460,-10.579275,1.4098,1.4098
4.843460,-10.569261,1.3697,1.3697
4.793460,-10.559342,1.3795,1.3795
4.743460,-10.549454,1.3894,1.3894
4.693460,-10.539648,1.3992,1.3992
4.643460,-10.528990,1.4000,1.4000
4.593460,-10.518398,1.3500,1.3500
4.543460,-10.507920,1.3598,1.3598
4.493460,-10.497605,1.3697,1.3697
4.443460,-10.487387,1.3795,1.3795
4.393460,-10.477197,1.3881,1.3881
4.343460,-10.467086,1.3492,1.3492
4.293460,-10.456115,1.3500,1.3500
4.243460,-10.446071,1.3598,1.3598
4.193460,-10.436018,1.3697,1.3697
4.143460,-10.425018,1.3681,1.3681
4.093460,-10.414856,1.3394,1.3394
4.043460,-10.404598,1.3492,1.3492
3.993460,-10.394290,1.3500,1.3500
3.943460,-10.383981,1.3500,1.3500
3.893460,-10.374588,1.3583,1.3583
3.843460,-10.364194,1.3197,1.3197
3.793460,-10.353717,1.3295,1.3295
3.743460,-10.344074,1.3394,1.3394
3.693460,-10.334333,1.3484,1.3484
3.643460,-10.325414,1.3386,1.3386
3.593460,-10.316386,1.3000,1.3000
3.543460,-10.307188,1.3098,1.3098
3.493460,-10.297761,1.3197,1.3197
3.443460,-10.288157,1.3295,1.3295
3.393460,-10.279300,1.3181,1.3181
3.343460,-10.269278,1.2992,1.2992
3.293460,-10.259884,1.3091,1.3091
3.243460,-10.251062,1.3189,1.3189
3.193460,-10.241885,1.3181,1.3181
3.143460,-10.232298,1.3083,1.3083
3.093460,-10.223117,1.2984,1.2984
3.043460,-10.214289,1.3083,1.3083
2.992590,-10.205766,1.3083,1.3083
2.941831,-10.196514,1.2984,1.2984
2.891182,-10.187360,1.2886,1.2886
2.839768,-10.178257,1.2783,1.2783
2.788568,-10.169167,1.3083,1.3083
2.737578,-10.160050,1.2984,1.2984
2.685920,-10.150871,1.2886,1.2886
2.634572,-10.141597,1.2783,1.2783
2.583525,-10.131215,1.2583,1.2583
2.531900,-10.120565,1.2984,1.2984
2.480670,-10.109621,1.2783,1.2783
2.428955,-10.098357,1.2583,1.2583
2.377723,-10.086753,1.2484,1.2484
2.326962,-10.073807,1.2386,1.2386
2.275787,-10.060369,1.2783,1.2783
