x_m,y_m,w_tr_right_m,w_tr_left_m
-5.753800,1.044000,0.5795,0.5795
-5.767595,0.994000,0.5894,0.5894
-5.777958,0.944000,0.5992,0.5992
-5.785624,0.894000,0.6098,0.6098
-5.795839,0.844000,0.6197,0.6197
-5.804993,0.794000,0.5795,0.5795
-5.812266,0.744000,0.5894,0.5894
-5.821354,0.694000,0.5992,0.5992
-5.833319,0.644000,0.6098,0.6098
-5.844875,0.594000,0.6197,0.6197
-5.852737,0.544000,0.5795,0.5795
-5.860763,0.494000,0.5894,0.5894
-5.868298,0.444000,0.5992,0.5992
-5.874689,0.394000,0.6000,0.6000
-5.883793,0.344000,0.6098,0.6098
-5.892325,0.294000,0.6098,0.6098
-5.897000,0.244000,0.5795,0.5795
-5.901675,0.194000,0.5894,0.5894
-5.910207,0.144000,0.5992,0.5992
-5.919311,0.094000,0.6098,0.6098
-5.928497,0.044000,0.6197,0.6197
-5.937275,-0.006000,0.6098,0.6098
-5.942358,-0.056000,0.6000,0.6000
-5.947605,-0.106000,0.5992,0.5992
-5.956873,-0.156000,0.6000,0.6000
-5.966876,-0.206000,0.6098,0.6098
-5.977124,-0.256000,0.6197,0.6197
-5.987127,-0.306000,0.6295,0.6295
-5.996395,-0.356000,0.6394,0.6394
-6.004437,-0.406000,0.5992,0.5992
-6.010763,-0.456000,0.6098,0.6098
-6.019393,-0.506000,0.6197,0.6197
-6.024411,-0.556000,0.6295,0.6295
-6.029838,-0.606000,0.6394,0.6394
-6.035182,-0.656000,0.6492,0.6492
-6.039955,-0.706000,0.6500,0.6500
-6.043666,-0.756000,0.6500,0.6500
-6.050334,-0.806000,0.6295,0.6295
-6.054045,-0.856000,0.6394,0.6394
-6.058818,-0.906000,0.6492,0.6492
-6.064162,-0.956000,0.6500,0.6500
-6.069589,-1.006000,0.6598,0.6598
-6.074607,-1.056000,0.6500,0.6500
-6.083237,-1.106000,0.6500,0.6500
-6.089563,-1.156000,0.6500,0.6500
-6.097605,-1.206000,0.6492,0.6492
-6.106873,-1.256000,0.6591,0.6591
-6.116876,-1.306000,0.6697,0.6697
-6.127124,-1.356000,0.6795,0.6795
-6.137127,-1.406000,0.6795,0.6795
-6.143600,-1.456000,0.6697,0.6697
-6.150400,-1.506000,0.6591,0.6591
-6.156873,-1.556000,0.6697,0.6697
-6.166876,-1.606000,0.6795,0.6795
-6.174329,-1.656000,0.6894,0.6894
-6.183090,-1.706000,0.6992,0.6992
-6.192505,-1.756000,0.7000,0.7000
-6.201920,-1.806000,0.6500,0.6500
-6.210681,-1.856000,0.6500,0.6500
-6.222646,-1.906000,0.6598,0.6598
-6.234529,-1.956000,0.6697,0.6697
-6.245839,-2.006000,0.6795,0.6795
-6.253293,-2.056000,0.6394,0.6394
-6.260746,-2.106000,0.6492,0.6492
-6.267546,-2.156000,0.6500,0.6500
-6.277549,-2.206000,0.6598,0.6598
-6.287471,-2.256000,0.6697,0.6697
-6.296820,-2.306000,0.6795,0.6795
-6.305107,-2.356000,0.6394,0.6394
-6.311841,-2.406000,0.6492,0.6492
-6.316533,-2.456000,0.6591,0.6591
-6.323201,-2.506000,0.6697,0.6697
-6.328726,-2.556000,0.6795,0.6795
-6.332780,-2.606000,0.6894,0.6894
-6.332240,-2.656000,0.6894,0.6894
-6.335640,-2.706000,0.6795,0.6795
-6.339857,-2.756000,0.6697,0.6697
-6.344565,-2.806000,0.6598,0.6598
-6.349435,-2.856000,0.6894,0.6894
-6.354143,-2.906000,0.6992,0.6992
