x_m,y_m,psi_rad,v_mps
-9.342601110811358,-3.6397642000660064,-0.805011850998136,4.05735291582694
-9.16752289158016,-3.810146473619287,-0.7433977013088784,4.0456335868445565
-8.981485027252877,-3.971701708914991,-0.6900795971773064,4.040933145942601
-8.786624075761406,-4.124376580428736,-0.6430956386529249,4.0441921445993865
-8.58403294373223,-4.2695373657247835,-0.6034317015125547,4.0558933263766574
-8.37325592266997,-4.409024661074435,-0.5812874336450421,4.076073735037119
-8.158391264107278,-4.5492094722483465,-0.5749594205975477,4.104286995034398
-7.942772721860912,-4.687888083715585,-0.5701253790095995,4.139551455246141
-7.725936983952032,-4.826553313875877,-0.5685546366428781,4.1803457046870145
-7.5075286588737455,-4.965906891798653,-0.5734356459616123,4.224722605745459
-7.289044713529918,-5.108787819357119,-0.585087167908783,4.270578201270417
-7.072033233028083,-5.254361071659389,-0.597674319121081,4.316032800626956
-6.858954103047221,-5.401576024880903,-0.6002160756254208,4.3597924609546705
-6.650710254612825,-5.542817753543542,-0.5732034066707524,4.401327273203649
-6.437160525370956,-5.673904215641205,-0.5405324779906694,4.440755082892243
-6.216687913368576,-5.803152970288966,-0.531228606467224,4.4784437785627675
-5.99384757005004,-5.934379739164303,-0.5338056081525999,4.514494832161728
-5.770820403819664,-6.066676161351737,-0.5408004767139869,4.548357753489773
-5.550787532807551,-6.200447046127479,-0.5383947352808344,4.578775891256323
-5.331762409148005,-6.328933019924434,-0.5217835601918736,4.604104076268996
-5.110998201118669,-6.453318303725505,-0.502019096828053,4.622865314722428
-4.893332487549455,-6.569817515289415,-0.4563445315607165,4.634312462794332
-4.670411627793296,-6.669746200689071,-0.40036178742774103,4.638776720475495
-4.443480127384662,-6.760229346815169,-0.3421853885667191,4.637714368994211
-4.213238518263278,-6.8327984754824636,-0.2713093864976421,4.633514558246309
-3.9751526868944307,-6.890277644197165,-0.21471582274330123,4.62917975494255
-3.732536415019057,-6.937532269478682,-0.16630294779477467,4.627934367010576
-3.4868660677521186,-6.972199428290748,-0.12088238348603841,4.632775672173131
-3.2402714466153597,-6.997351969018871,-0.073941776357694,4.645998129216312
-2.989137222956092,-7.008928810336082,-0.04166920126671546,4.668739958662259
-2.72570051671213,-7.018757978555861,-0.06581734311635154,4.700630953650905
-2.4587108050716324,-7.044046689797256,-0.10964946943977151,4.739704031902058
-2.1973802871824404,-7.076765007978793,-0.1313877782691774,4.782752357547113
-1.940418751059621,-7.112425976322982,-0.1357006374596891,4.826127065509664
-1.6838522215800396,-7.1469239518532035,-0.13831981232010254,4.86670082375748
-1.430794153025384,-7.183416184091513,-0.12718344640331306,4.902631194824053
-1.182950980594492,-7.21105942969421,-0.08960223990981978,4.933678223014418
-0.9324665471544563,-7.228199753696611,-0.05897732918885358,4.961020366721493
-0.6796256218868608,-7.240659243863716,-0.03670900212252752,4.986696397702775
-0.4270027736092644,-7.246838987828355,-0.012996467735990714,4.999999805218082
-0.17166633289712985,-7.2471468685236715,-0.00010302237387298967,4.9999998055608
0.08648405436068508,-7.246941571906433,0.00023036608414303162,4.999999806318745
0.34523773322463913,-7.24695708022351,-0.0014834484446603427,4.999999806954388
0.6054465129708717,-7.247808007112937,-0.010127947492479408,4.999999807266833
0.8668606210069927,-7.252114288071127,-0.023011537368328856,4.999999807078505
1.1268219045210093,-7.259983322247116,-0.031462843389737004,4.99999980626079
1.3829779252572876,-7.2681511778036505,-0.022059954444076366,4.999999804774669
1.639051489687467,-7.2714992691405245,-0.013533413381684118,4.999999802695765
