x_m,y_m,w_tr_right_m,w_tr_left_m
-9.418284,-3.899078,0.84,0.84
-9.37185,-3.943049,0.8389,0.8389
-9.324891,-3.987216,0.8292,0.8292
-9.27747,-4.030629,0.8195,0.8195
-9.229654,-4.074192,0.8497,0.8497
-9.181513,-4.116957,0.8389,0.8389
-9.133117,-4.158961,0.8292,0.8292
-9.083558,-4.201111,0.8195,0.8195
-9.03378,-4.242461,0.8098,0.8098
-8.983862,-4.283052,0.7991,0.7991
-8.933883,-4.323793,0.8292,0.8292
-8.882942,-4.363741,0.8189,0.8189
-8.831993,-4.40294,0.7991,0.7991
-8.781122,-4.442301,0.7894,0.7894
-8.730418,-4.480886,0.7689,0.7689
-8.679972,-4.518739,0.7991,0.7991
-8.628896,-4.556776,0.7894,0.7894
-8.578153,-4.594061,0.7689,0.7689
-8.526856,-4.631511,0.7592,0.7592
-8.475974,-4.668192,0.7894,0.7894
-8.424621,-4.705027,0.7689,0.7689
-8.373768,-4.741083,0.7591,0.7591
-8.322534,-4.777286,0.7291,0.7291
-8.271892,-4.812706,0.7592,0.7592
-8.220964,-4.8474,0.7495,0.7495
-8.170725,-4.882294,0.7291,0.7291
-8.120299,-4.916465,0.7592,0.7592
-8.069681,-4.95084,0.7495,0.7495
-8.018866,-4.984498,0.7291,0.7291
-7.967847,-5.018372,0.7592,0.7592
-7.917604,-5.05154,0.7495,0.7495
-7.867263,-5.084069,0.7291,0.7291
-7.816823,-5.116893,0.7592,0.7592
-7.766279,-5.149096,0.7495,0.7495
-7.715629,-5.181615,0.7291,0.7291
-7.66487,-5.213537,0.7592,0.7592
-7.614,-5.245802,0.7495,0.7495
-7.564,-5.2775,0.7291,0.7291
-7.514,-5.309574,0.7591,0.7591
-7.464,-5.341986,0.7291,0.7291
-7.414,-5.373829,0.7592,0.7592
-7.364,-5.406055,0.7495,0.7495
-7.314,-5.437759,0.7291,0.7291
-7.264,-5.469894,0.7592,0.7592
-7.214,-5.502431,0.7495,0.7495
-7.164,-5.534472,0.7291,0.7291
-7.114,-5.566975,0.7591,0.7591
-7.064,-5.599916,0.7291,0.7291
-7.014,-5.631419,0.7091,0.7091
-6.964,-5.663315,0.7291,0.7291
-6.914,-5.695583,0.7194,0.7194
-6.864,-5.728204,0.7091,0.7091
-6.814,-5.759308,0.7291,0.7291
-6.76313,-5.789862,0.7291,0.7291
-6.712371,-5.81996,0.7591,0.7591
-6.660851,-5.848716,0.7291,0.7291
-6.609549,-5.877092,0.7091,0.7091
-6.557588,-5.905181,0.7291,0.7291
-6.505945,-5.932092,0.7091,0.7091
-6.454611,-5.958785,0.7291,0.7291
-6.403578,-5.986222,0.7194,0.7194
-6.352837,-6.012526,0.7495,0.7495
-6.30238,-6.039527,0.7291,0.7291
-6.252198,-6.067206,0.7495,0.7495
-6.202284,-6.093688,0.7291,0.7291
