x_m,y_m,w_tr_right_m,w_tr_left_m
0.086000,-5.063809,0.7398,0.7398
0.036000,-5.030657,0.7097,0.7097
-0.014000,-4.996834,0.7194,0.7194
-0.064000,-4.963401,0.7291,0.7291
-0.114000,-4.929572,0.7000,0.7000
-0.164000,-4.895429,0.7000,0.7000
-0.214000,-4.861052,0.7000,0.7000
-0.264000,-4.827508,0.6698,0.6698
-0.314000,-4.794013,0.6795,0.6795
-0.364000,-4.759780,0.6892,0.6892
-0.414000,-4.725876,0.6591,0.6591
-0.464000,-4.692383,0.6892,0.6892
-0.514000,-4.659383,0.7091,0.7091
-0.564000,-4.627942,0.6795,0.6795
-0.614000,-4.596405,0.6892,0.6892
-0.664000,-4.565838,0.7091,0.7091
-0.714000,-4.536323,0.6892,0.6892
-0.764000,-4.507942,0.7091,0.7091
-0.814000,-4.479907,0.6892,0.6892
-0.864000,-4.453281,0.7091,0.7091
-0.914000,-4.428143,0.6992,0.6992
-0.964000,-4.403703,0.7291,0.7291
-1.014000,-4.381020,0.7091,0.7091
-1.064000,-4.360172,0.7291,0.7291
-1.114000,-4.339380,0.7091,0.7091
-1.164000,-4.319585,0.7492,0.7492
-1.214000,-4.300740,0.7394,0.7394
-1.264000,-4.281925,0.7291,0.7291
-1.314000,-4.265055,0.7591,0.7591
-1.364000,-4.250188,0.7492,0.7492
-1.414000,-4.235530,0.7394,0.7394
-1.464000,-4.222004,0.7795,0.7795
-1.514000,-4.209547,0.7697,0.7697
-1.564000,-4.198207,0.7598,0.7598
-1.614000,-4.189013,0.7500,0.7500
-1.664000,-4.181026,0.7500,0.7500
-1.714000,-4.174174,0.8000,0.8000
-1.764000,-4.168382,0.8000,0.8000
-1.814000,-4.163688,0.8000,0.8000
-1.864000,-4.160124,0.8000,0.8000
-1.914000,-4.157607,0.8000,0.8000
-1.964000,-4.157037,0.8000,0.8000
-2.014000,-4.157456,0.8000,0.8000
-2.064000,-4.159760,0.8000,0.8000
-2.114000,-4.162990,0.8000,0.8000
-2.164000,-4.167055,0.8000,0.8000
-2.214000,-4.170989,0.8000,0.8000
-2.264000,-4.175677,0.7598,0.7598
-2.314000,-4.181016,0.7697,0.7697
-2.364000,-4.187884,0.7795,0.7795
-2.414000,-4.195305,0.7894,0.7894
-2.464000,-4.202301,0.7992,0.7992
-2.514000,-4.210725,0.8091,0.8091
-2.564000,-4.219595,0.8189,0.8189
-2.614000,-4.227921,0.7894,0.7894
-2.664000,-4.235696,0.7992,0.7992
-2.714000,-4.244761,0.8091,0.8091
-2.764000,-4.254116,0.8189,0.8189
-2.814000,-4.264614,0.8389,0.8389
-2.864000,-4.275256,0.8091,0.8091
-2.914000,-4.287760,0.8189,0.8189
-2.964000,-4.300141,0.8389,0.8389
-3.014000,-4.313249,0.8389,0.8389
-3.064000,-4.327064,0.8189,0.8189
-3.114000,-4.340583,0.8389,0.8389
-3.164000,-4.354538,0.8189,0.8189
-3.214000,-4.368793,0.7991,0.7991
-3.264000,-4.383324,0.8189,0.8189
-3.314000,-4.398109,0.8091,0.8091
-3.364000,-4.413126,0.7991,0.7991
-3.414000,-4.429223,0.8189,0.8189
-3.464000,-4.444409,0.7991,0.7991
-3.514000,-4.459533,0.7689,0.7689
-3.564000,-4.474573,0.7591,0.7591
-3.614000,-4.490375,0.6992,0.6992
-3.664000,-4.505936,0.6894,0.6894
-3.714000,-4.521122,0.6795,0.6795
-3.764000,-4.535797,0.6197,0.6197
-3.814000,-4.550814,0.6098,0.6098
-3.864000,-4.565169,0.6000,0.6000
-3.914000,-4.579716,0.5500,0.5500
-3.964000,-4.592473,0.5598,0.5598
-4.014000,-4.605163,0.5697,0.5697
-4.064000,-4.616786,0.5795,0.5795
-4.114000,-4.628199,0.5394,0.5394
-4.164000,-4.639276,0.5492,0.5492
-4.214000,-4.649895,0.5794,0.5794
-4.264000,-4.659064,0.6095,0.6095
-4.314000,-4.667650,0.6397,0.6397
-4.364000,-4.675533,0.6300,0.6300
-4.414000,-4.683586,0.6698,0.6698
-4.464000,-4.689958,0.6894,0.6894
-4.514000,-4.695525,0.6795,0.6795
-4.564000,-4.700182,0.6591,0.6591
-4.614000,-4.703826,0.6492,0.6492
-4.664000,-4.706469,0.6394,0.6394
-4.714000,-4.708131,0.6295,0.6295
-4.764000,-4.708715,0.6197,0.6197
-4.814000,-4.708130,0.6098,0.6098
-4.864870,-4.707271,0.6000,0.6000
-4.915629,-4.705186,0.6000,0.6000
-4.966279,-4.701794,0.6000,0.6000
-5.016823,-4.697131,0.6000,0.6000
-5.067263,-4.691237,0.6000,0.6000
-5.118474,-4.684039,0.6000,0.6000
-5.169476,-4.676454,0.6000,0.6000
-5.220274,-4.667548,0.5500,0.5500
-5.270875,-4.657259,0.5598,0.5598
-5.321284,-4.646515,0.5697,0.5697
-5.371506,-4.634393,0.5795,0.5795
-5.421547,-4.620843,0.5394,0.5394
-5.472284,-4.606804,0.5492,0.5492
-5.522740,-4.591364,0.5794,0.5794
-5.572923,-4.574486,0.5492,0.5492
-5.622842,-4.557119,0.5794,0.5794
-5.672505,-4.538362,0.5794,0.5794
-5.721921,-4.518189,0.5794,0.5794
-5.771099,-4.496576,0.5697,0.5697
-5.820046,-4.473501,0.5794,0.5794
-5.869642,-4.449932,0.5492,0.5492
-5.918913,-4.424985,0.5794,0.5794
-5.967871,-4.398650,0.5492,0.5492
-6.016526,-4.370920,0.5697,0.5697
-6.064890,-4.341790,0.5395,0.5395
-6.113846,-4.311261,0.5794,0.5794
-6.162421,-4.279332,0.5492,0.5492
-6.210630,-4.246008,0.5794,0.5794
-6.258488,-4.212281,0.5992,0.5992
-6.306878,-4.177293,0.5697,0.5697
-6.355704,-4.141060,0.5794,0.5794
-6.404870,-4.103600,0.5992,0.5992
-6.453415,-4.064935,0.6095,0.6095
-6.501362,-4.026072,0.5794,0.5794
-6.549602,-3.986172,0.5992,0.5992
-6.597177,-3.945267,0.5998,0.5998
-6.644982,-3.904376,0.6095,0.6095
-6.692932,-3.863655,0.6192,0.6192
-6.740073,-3.822281,0.6397,0.6397
-6.787306,-3.780303,0.6095,0.6095
-6.833680,-3.737773,0.6192,0.6192
-6.880100,-3.694746,0.6300,0.6300
-6.926487,-3.650295,0.6397,0.6397
-6.972768,-3.605350,0.6494,0.6494
-7.017999,-3.559969,0.6591,0.6591
-7.063094,-3.514218,0.7091,0.7091
-7.107982,-3.468161,0.7194,0.7194
-7.152599,-3.420885,0.7291,0.7291
-7.196009,-3.373328,0.7495,0.7495
-7.239135,-3.325562,0.7194,0.7194
-7.281915,-3.277663,0.7291,0.7291
-7.324291,-3.229707,0.7398,0.7398
-7.366209,-3.180791,0.7398,0.7398
-7.406745,-3.131865,0.7700,0.7700
-7.446833,-3.083013,0.7797,0.7797
-7.486422,-3.034321,0.7894,0.7894
-7.525467,-2.984893,0.7991,0.7991
-7.563923,-2.935689,0.8389,0.8389
-7.601750,-2.885815,0.8689,0.8689
-7.638909,-2.836234,0.8788,0.8788
-7.675365,-2.786055,0.8992,0.8992
-7.711086,-2.736244,0.9288,0.9288
-7.745171,-2.685914,0.9488,0.9488
-7.778576,-2.636031,0.9595,0.9595
-7.811274,-2.585712,0.9488,0.9488
-7.843241,-2.535927,0.9788,0.9788
-7.874455,-2.485794,0.9886,0.9886
-7.904899,-2.435303,0.9788,0.9788
-7.934556,-2.384442,0.9886,0.9886
-7.964285,-2.334184,1.0188,1.0188
-7.993963,-2.283651,0.9886,0.9886
-8.023475,-2.232834,1.0188,1.0188
-8.052711,-2.181725,0.9886,0.9886
-8.081566,-2.131299,1.0288,1.0288
-8.109942,-2.080681,1.0188,1.0188
-8.137745,-2.028996,1.0386,1.0386
-8.164887,-1.977218,1.0586,1.0586
-8.191288,-1.925455,1.0689,1.0689
-8.216870,-1.873812,1.0984,1.0984
-8.241563,-1.821410,1.0886,1.0886
-8.265301,-1.768353,1.1189,1.1189
-8.287042,-1.715611,1.0984,1.0984
-8.307599,-1.662299,1.0886,1.0886
-8.326921,-1.608515,1.1286,1.1286
-8.344962,-1.555339,1.0984,1.0984
-8.361684,-1.501994,1.0886,1.0886
-8.376068,-1.448573,1.1091,1.1091
-8.388952,-1.396034,1.1189,1.1189
-8.400312,-1.343483,1.1091,1.1091
-8.410128,-1.291004,1.0992,1.0992
-8.418385,-1.238682,1.0984,1.0984
-8.425075,-1.186597,1.1189,1.1189
-8.430196,-1.134826,1.1197,1.1197
-8.432765,-1.083445,1.1098,1.1098
