x_m,y_m,w_tr_right_m,w_tr_left_m
-6.958949,-3.6214,0.6795,0.6795
-7.003915,-3.577501,0.6494,0.6494
-7.047819,-3.533249,0.6591,0.6591
-7.091577,-3.488707,0.6795,0.6795
-7.135121,-3.442959,0.6892,0.6892
-7.178389,-3.396939,0.7091,0.7091
-7.22045,-3.350718,0.7291,0.7291
-7.262228,-3.304367,0.7689,0.7689
-7.303663,-3.257962,0.77,0.77
-7.344703,-3.210594,0.77,0.77
-7.385293,-3.163213,0.77,0.77
-7.424515,-3.115899,0.7797,0.7797
-7.463304,-3.068734,0.8195,0.8195
-7.501613,-3.020822,0.8292,0.8292
-7.539399,-2.973117,0.8389,0.8389
-7.57662,-2.924724,0.8689,0.8689
-7.613238,-2.875618,0.8689,0.8689
-7.649218,-2.826758,0.8788,0.8788
-7.684528,-2.778236,0.8992,0.8992
-7.719137,-2.729162,0.9089,0.9089
-7.75215,-2.6805,0.9488,0.9488
-7.784523,-2.631364,0.9595,0.9595
-7.816233,-2.581737,0.9692,0.9692
-7.847258,-2.532585,0.9788,0.9788
-7.87758,-2.483026,0.9886,0.9886
-7.907183,-2.433044,0.9788,0.9788
-7.936056,-2.383611,0.9886,0.9886
-7.965057,-2.333844,1.0188,1.0188
-7.994069,-2.283733,0.9886,0.9886
-8.022979,-2.233266,1.0188,1.0188
-8.051678,-2.183416,0.9886,0.9886
-8.080067,-2.133305,1.0288,1.0288
-8.108047,-2.082054,1.0188,1.0188
-8.13553,-2.030637,1.0386,1.0386
-8.16243,-1.979156,1.0288,1.0288
-8.188668,-1.926844,1.0689,1.0689
-8.214171,-1.873802,1.0984,1.0984
-8.238871,-1.820997,1.0886,1.0886
-8.261722,-1.768413,1.0788,1.0788
-8.283534,-1.716032,1.0984,1.0984
-8.304253,-1.662967,1.0886,1.0886
-8.323832,-1.610297,1.1286,1.1286
-8.342229,-1.557248,1.0984,1.0984
-8.358421,-1.50391,1.0886,1.0886
-8.373245,-1.450372,1.1091,1.1091
-8.386674,-1.397592,1.1189,1.1189
-8.398683,-1.34467,1.1091,1.1091
-8.409258,-1.292674,1.0992,1.0992
-8.418385,-1.240818,1.0984,1.0984
-8.425075,-1.189182,1.1189,1.1189
-8.430196,-1.137844,1.1197,1.1197
-8.432765,-1.086878,1.1098,1.1098
-8.433659,-1.036357,1.1,1.1
-8.432888,-0.986349,1.1,1.1
-8.43047,-0.936921,1.1098,1.1098
-8.426427,-0.888138,1.1197,1.1197
-8.420787,-0.840058,1.1295,1.1295
-8.413585,-0.792741,1.0894,1.0894
-8.40486,-0.746241,1.0992,1.0992
-8.393673,-0.70061,1.1091,1.1091
-8.380941,-0.655899,1.1189,1.1189
