s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,t_s,x_m,y_m,psi_rad,v_mps
6.4626763152467515,0.4657586123149011,0.0009638419774632445,6.999999530024447,1.9549704792420897,-0.008565509471602816,8.04669227636824,0.8405801382598599,5.124967963634047,-4.363396777903887,1.1970579024274848,6.999999530024447
6.720651197283457,0.46575837628020766,-0.0009659373542622938,6.999999518015707,2.2829531121802917,0.008806610188707155,8.253745995658376,0.872764568060367,5.201957396897972,-4.148513281840965,1.2593276385887138,6.999999518015707
6.978641107639242,0.46575865105291514,0.0009684393275569182,6.999999501339884,2.711929656432527,-0.00913054281234333,8.541201255376288,0.904142407593156,5.263529934488979,-3.932347574689479,1.332876478294406,6.999999501339884
7.236558505714065,0.46575853434069364,-0.0009695391088527056,6.999999478222433,3.2624613478890434,0.009574431016537321,8.94080460825101,0.9344633200176403,5.3072040903587006,-3.7185187647209887,1.4165403972258344,6.999999478222433
7.494348408056163,0.4657587739549775,0.0009719025500512091,6.999999937544088,3.9590826525556446,-0.010189432301589219,9.503442906638972,0.9634300904301235,5.329530816329217,-3.5113270381916672,1.5251711728068194,6.999999937544088
7.751922986339194,0.46575877937340104,-0.0009718457407393695,7.000000004463859,3.9187454641171855,-0.014322837254418503,10.321821151439892,0.9906807468138048,5.327431515056658,-3.3147213881156325,1.6551166523978407,7.000000004463859
8.00918068025694,0.46536706234004244,-0.003488016968341325,6.977123271426217,3.6554085294855505,-0.029185489243686864,11.541884853502701,1.015816719366274,5.299432967738069,-3.133054037787468,1.8118635119124613,6.977123271426217
8.265987381450909,0.46446252577160513,-0.008061034784690816,6.926365673601995,3.3327058620506196,-0.04032289430324469,13.55074379810148,1.0383499697352487,5.2446114942226965,-2.9695763406661597,1.9909415647529436,6.926365673601995
8.522415755332478,0.4630395430442202,-0.013409042476718676,6.850972995688755,3.049421537380556,-0.04822105615635369,17.352410963878828,1.0575931808556858,5.164541242980412,-2.8275736091808676,2.189931711860277,6.850972995688755
8.778384954192726,0.46141141674225844,-0.018356223360491503,6.762906504723522,2.847667643698678,-0.05368871672594097,25.929676936164164,1.0726537569961776,5.063487463714302,-2.713540284645499,2.412578191304767,6.762906504723522
9.03370891695154,0.46004290790836044,-0.022001120709985878,6.682974500609221,2.7300420089860298,-0.05721319804383968,48.772312709141,1.0827423919241614,4.951089283304779,-2.635070144565789,2.6701568702446066,6.682974500609221
9.287842575025762,0.4592214330627908,-0.02404493177843907,6.630668663102022,2.6743329640271227,-0.0591296644224847,84.69741579579613,1.088102903505213,4.843289279718358,-2.5978255023044405,2.979047229655105,6.630668663102022
9.540527205306525,0.4587185369479733,-0.025252848199662743,6.597963484340478,2.644885040894286,-0.060241077056323686,50.83163884162072,1.0911878034188978,4.747851405546512,-2.5991961391408096,-2.9528338379768755,6.597963484340478
9.793169424583684,0.457829771073526,-0.027293384544449063,6.547394845067587,2.6122522568812525,-0.06175153390805289,23.69052216372759,1.0963351818567697,4.657093769695019,-2.6376037004962503,-2.606384302907795,6.547394845067587
10.047743134837932,0.45570459489331705,-0.03174534788832309,6.46248883926428,2.571017266865338,-0.06411242650066507,14.093700797189902,1.1074043801528048,4.564291287000784,-2.7207058877698014,-2.315988344254428,6.46248883926428
10.304738277887541,0.45145756698826145,-0.03941072625192053,6.368411866061041,2.532737711662439,-0.06669638795564081,10.140526031118723,1.1260158370592808,4.473914925447039,-2.8532328163188834,-2.1047739281200224,6.368411866061041
10.56368984165893,0.44412696059766194,-0.05032734094509643,6.298928102994346,2.5077403259103126,-0.06861664268108589,8.21798027433053,1.151820254117425,4.39070689602873,-3.0316968787861818,-1.973734634896459,6.298928102994346
10.823542806062735,0.4327364153853698,-0.06402598355691201,6.273207109633779,2.4979141918699876,-0.06935309209147084,7.179496369354394,1.1835297374203089,4.313170051864298,-3.2455251391318036,-1.9130364559141146,6.273207109633779
11.083169121776171,0.4164257520395863,-0.07979554055022986,6.296274163646521,2.4980257488526054,-0.06884550323321051,6.591721005446914,1.2196514061360335,4.233846512969084,-3.4842120425987493,-1.9094815343741693,6.296274163646521
11.342482658425908,0.3945572313379551,-0.09688733790258332,6.365589247788978,2.4969041886802823,-0.06737816442915401,6.267523289521366,1.258803576594196,4.143170871279903,-3.738173007701212,-1.9506181677041283,6.365589247788978
11.601456937535167,0.3667739697819219,-0.11464663987694577,6.475199125322076,2.4730860669690826,-0.06551524568889858,6.118353828195278,1.2997945111301654,4.032411671907482,-3.997460725248851,-2.0259845982058633,6.475199125322076
11.860058992509677,0.33301345713724895,-0.13260924944428173,6.616984185555249,2.371965074108275,-0.06427723203866151,6.097580004639471,1.3416187047268622,3.8955780453362996,-4.251425095820802,-2.123766250108319,6.616984185555249
