s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,dt_s,t_s,curvature_1pm,x_m,y_m,psi_rad,v_mps,x_rollout_m,y_rollout_m,psi_rollout_rad,v_rollout_mps,psi_err_rad,xy_err_m,v_err_mps
64.73901767352072,0.0,0.0,3.65440949894634,-4.000000000000002,0.08314809913553182,3.65440949894634,0.013783589244351297,20.377172376222422,0.2525462068896884,-10.414053557752071,-2.320431223050432,-1.2739557142944362,3.65440949894634,-9.987994186239877,-4.173165276860932,5.13493106497349,3.65440949894634,0.12570147208833937,1.9010918079362857,0.0
64.7892892650687,0.0,0.0,3.599275141968935,-4.0000000000000195,0.08670529091530116,3.599275141968935,0.013998039333559963,20.390955965466773,0.26340370965325016,-10.399036765570198,-2.368166529280911,-1.2593109018935018,3.599275141968935,-9.967206636756263,-4.218628835378085,5.147556078359516,3.599275141968935,0.12368167307343114,1.9001810457001012,0.0
64.83933408459173,0.0,0.0,3.5432829846346947,-4.000000000000004,0.09083818939147983,3.5432829846346947,0.014222821697227755,20.404954004800334,0.27602687753830235,-10.383378793875094,-2.415704486379973,-1.2468555857277017,3.5432829846346947,-9.945834528323628,-4.263820509743069,5.1607238681325525,3.5432829846346947,0.12439414668066817,1.8992045229854513,0.0
64.88938822730684,0.0,0.0,3.4863916978457836,-3.579516521105337,0.09473873304685804,3.4863916978457836,0.014445996932443259,20.419176826497562,0.28794907444618134,-10.367171817856985,-2.4630680251543353,-1.2370663420958938,3.4863916978457836,-9.923855063204988,-4.308719886348971,5.174522701489595,3.4863916978457836,0.12840373640590208,1.8981466059518168,0.0
64.93965628472182,0.0,0.0,3.434682013162266,-1.496488850198608,0.09759487002009685,3.434682013162266,0.014601184701808241,20.433622823430007,0.2966845786994163,-10.350446230062879,-2.51069373117042,-1.222665249916413,3.434682013162266,-9.90124487966839,-4.353304939985131,5.188917536257257,3.434682013162266,0.12839747899408493,1.8965753135707117,0.0
64.98990266595949,0.0,0.0,3.4128315030563194,0.5464156969451731,0.09884046650202263,3.4128315030563194,0.014630790261981951,20.448224008131813,0.3004957613003549,-10.33288955665601,-2.5575324199116896,-1.1974420320182066,3.4128315030563194,-9.877985616255657,-4.397554814750913,5.203749066786416,3.4128315030563194,0.11800579162503588,1.895420799849374,0.0
65.0400173240089,0.0,0.0,3.420825996514179,2.1509452990097873,0.0983820033286081,3.420825996514179,0.014547162989433685,20.462854798393796,0.29909288124080524,-10.31388851989745,-2.604018163304229,-1.1803299255754252,3.420825996514179,-9.85406846547097,-4.441452576260149,5.21877112178215,3.420825996514179,0.11591574017798933,1.89409601244695,0.0
65.09036247861181,0.0,0.0,3.4521161483602305,2.499999999999984,0.09661773595864004,3.4521161483602305,0.014406087015343787,20.47740196138323,0.2936954684174044,-10.294564836089997,-2.6506439345674893,-1.1693546104949326,3.4521161483602305,-9.829496127848163,-4.484986979067605,5.233723045534383,3.4521161483602305,0.11989234884972966,1.8923803286579792,0.0
65.14061101101312,0.0,0.0,3.4881313658985897,2.4999999999999942,0.09425555246098095,3.4881313658985897,0.014258855496492407,20.491808048398575,0.28647173785680763,-10.274619709312233,-2.6965255713814438,-1.1532852628486259,3.4881313658985897,-9.8042814529213,-4.528152542162687,5.248405147735999,3.4881313658985897,0.11850510340503817,1.8910514100674618,0.0
65.19064471338433,0.0,0.0,3.5237785046398207,2.500000000000009,0.09208372811920885,3.5237785046398207,0.014116047936059445,20.506066903895068,0.2798329876593125,-10.253988847129524,-2.7421156493855783,-1.1415140633961463,3.5237785046398207,-9.77844347265004,-4.570947946422508,5.262726129110866,3.5237785046398207,0.1210548853274247,1.8896483730774372,0.0
