s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,dt_s,t_s,curvature_1pm
64.28829645078031,0.0,0.0,3.941970627248766,-4.000000000000008,0.06902999965300935,3.941970627248766,0.01276436780690979,20.258460168462186,0.20951471193509344
64.33831865041174,0.0,0.0,3.8909131560211265,-3.999999999999984,0.07381679071690743,3.8909131560211265,0.012934106989400836,20.271224536269095,0.22409441660718332
64.38834544729941,0.0,0.0,3.8391767280635234,-3.999999999999987,0.07783863693140458,3.8391767280635234,0.013110803355452047,20.284158643258497,0.23635219138126157
64.43842772168443,0.0,0.0,3.7867335146417154,-1.5450211445264106,0.0803740598519348,3.7867335146417154,0.01323733750897441,20.29726944661395,0.2440835760671404
64.48852859379627,0.0,0.0,3.7662815482931173,0.6358000271955958,0.08124551129487553,3.7662815482931173,0.013258441171683557,20.310506784122925,0.24674165830077333
64.53859010926121,0.0,0.0,3.774711265550645,1.3688335576013266,0.08088462253348194,3.774711265550645,0.013211986779525413,20.323765225294608,0.24564083772187245
64.58865902491812,0.0,0.0,3.7927962764170444,-2.307823118555313,0.08011840937727108,3.7927962764170444,0.013233769689214902,20.33697721207413,0.2433038675222518
64.63869018412558,0.0,0.0,3.7622550767826377,-4.000000000000018,0.07985489857769575,3.7622550767826377,0.013382691129494024,20.350210981763347,0.24250021926597726
64.6887252882693,0.0,0.0,3.7087243122646614,-4.000000000000015,0.08078261560127666,3.7087243122646614,0.01357870332958028,20.36359367289284,0.24532969721483816
64.73901767352072,0.0,0.0,3.65440949894634,-4.000000000000002,0.08314809913553182,3.65440949894634,0.013783589244351297,20.377172376222422,0.2525462068896884
64.7892892650687,0.0,0.0,3.599275141968935,-4.0000000000000195,0.08670529091530116,3.599275141968935,0.013998039333559963,20.390955965466773,0.26340370965325016
64.83933408459173,0.0,0.0,3.5432829846346947,-4.000000000000004,0.09083818939147983,3.5432829846346947,0.014222821697227755,20.404954004800334,0.27602687753830235
64.88938822730684,0.0,0.0,3.4863916978457836,-3.579516521105337,0.09473873304685804,3.4863916978457836,0.014445996932443259,20.419176826497562,0.28794907444618134
64.93965628472182,0.0,0.0,3.434682013162266,-1.496488850198608,0.09759487002009685,3.434682013162266,0.014601184701808241,20.433622823430007,0.2966845786994163
64.98990266595949,0.0,0.0,3.4128315030563194,0.5464156969451731,0.09884046650202263,3.4128315030563194,0.014630790261981951,20.448224008131813,0.3004957613003549
65.0400173240089,0.0,0.0,3.420825996514179,2.1509452990097873,0.0983820033286081,3.420825996514179,0.014547162989433685,20.462854798393796,0.29909288124080524
65.09036247861181,0.0,0.0,3.4521161483602305,2.499999999999984,0.09661773595864004,3.4521161483602305,0.014406087015343787,20.47740196138323,0.2936954684174044
65.14061101101312,0.0,0.0,3.4881313658985897,2.4999999999999942,0.09425555246098095,3.4881313658985897,0.014258855496492407,20.491808048398575,0.28647173785680763
65.19064471338433,0.0,0.0,3.5237785046398207,2.500000000000009,0.09208372811920885,3.5237785046398207,0.014116047936059445,20.506066903895068,0.2798329876593125
65.24088763893229,0.0,0.0,3.5590686244799694,0.5177677515644301,0.09074947496773829,3.5590686244799694,0.01403174214299044,20.520182951831128,0.27575581759625384
65.29110439534873,0.0,0.0,3.5663338080598774,-1.2004764687371936,0.09056250507365747,3.5663338080598774,0.014050677094401743,20.534214693974118,0.27518456012108694
