s_m,x_m,y_m,psi_unwrapped_rad,psi_rad,curvature_1pm,v_ref_mps,a_ref_mps2,yaw_rate_ref_radps,delta_ref_rad,dt_s,t_s,ey_ref_m,epsi_ref_rad,w_tr_right_m,w_tr_left_m,x_rollout_m,y_rollout_m,psi_rollout_unwrapped_rad,v_rollout_mps,psi_rollout_rad,psi_err_rad,xy_err_m,v_err_mps
18.400000000000002,-1.8720117733447705,-4.159625877340829,3.080768323151063,3.080768323151063,0.3983092608783246,2.864302820420237,2.4999999999999942,1.140878339333285,0.13069283208155275,0.01732526107472982,6.157109962275316,0.0,0.0,0.7999298416360094,0.7999298416360094,-1.8068575349832212,-4.065998627428433,3.0611674615558258,2.864302820420237,3.0611674615558258,-0.01960086159523744,0.11406636972671533,0.0
18.45,-1.9219590649639149,-4.157400328575693,3.1195609707587524,3.1195609707587524,0.40180055352182376,2.9076159731070614,2.4999999999999996,1.1682817074233136,0.1318252223519798,0.017070936928930185,6.174435223350045,0.0,0.0,0.8000169229377542,0.8000169229377542,-1.8567326204765737,-4.062478227821032,3.081082924599742,2.9076159731070614,3.081082924599742,-0.038478046159010404,0.11517245448516852,0.0
18.5,-1.9719609819672954,-4.1570288465451375,3.1411983105388783,3.1411983105388783,0.3921570019176309,2.950293315429387,2.1511928234272792,1.1569781813564157,0.12869654644846193,0.016844030409751524,6.191506160278975,0.0,0.0,0.8000020243364294,0.8000020243364294,-1.90666812697964,-4.059956105306002,3.1011729522758333,2.950293315429387,3.1011729522758333,-0.040025358263044986,0.1169883498649297,0.0
18.55,-2.0219530079082237,-4.1577018333219335,3.1763993094428806,-3.106785997736706,0.39240527927482033,2.986528072764435,1.9534514695536687,1.171929382455219,0.12877712759570903,0.01665117163795258,6.208350190688727,0.0,0.0,0.7999749888873017,0.7999749888873017,-1.9566438950429526,-4.058425580126166,3.1207808023717147,2.986528072764435,3.1207808023717147,-0.055618507071166334,0.11883204396053616,0.0
18.6,-2.071892207708354,-4.160219546659726,3.2004998961192452,-3.082685411060341,0.3839952922918473,3.019055328470384,2.499999999999984,1.1593030333012442,0.1260466439655699,0.016449440137983478,6.2250013623266796,0.0,0.0,0.8000973320923521,0.8000973320923521,-2.006640067170026,-4.057875514070223,3.1404010663354556,3.019055328470384,3.140401066335455,-0.06009882978379011,0.1213760390337195,0.0
18.650000000000002,-2.121777096320486,-4.163588579912551,3.2201798929177596,-3.063005414261827,0.36439926654500115,3.0601789288153425,2.4999999999999822,1.1151269571567781,0.11967710273070646,0.016231299638187417,6.241450802464663,0.0,0.0,0.7996407062315314,0.7996407062315314,-2.0566375317116714,-4.058295917394837,3.159600830950048,3.0601789288153425,-3.1235844762295386,-0.06057906196771157,0.12381319662093837,0.0
18.7,-2.17161202721738,-4.167655899207297,3.2193892208371864,-3.0637960863424,0.3539221498384097,3.1007571779108107,2.499999999999982,1.0974266465330744,0.11626755377904884,0.01602161407763199,6.257682102102851,0.0,0.0,0.801310138752376,0.801310138752376,-2.1066184566059993,-4.059651640397178,3.1778207942772982,3.1007571779108107,-3.1053645129022875,-0.04156842655988768,0.12605191050491762,0.0
18.75,-2.221452870687405,-4.171633123504654,3.2295790076280637,-3.0536062995515225,0.3270595804262356,3.1408112131048904,2.500000000000004,1.0272323975561015,0.10751348238029995,0.01581985099448919,6.273703716180482,0.0,0.0,0.7950873791988832,0.7950873791988832,-2.1565670168639692,-4.061904657546383,3.195516901769219,3.1408112131048904,-3.0876684054103674,-0.03406210585884484,0.12747748925968005,0.0
18.8,-2.2712267225514826,-4.17639467975767,3.24102547377358,-3.0421598334060063,0.30320965738749656,3.1803608405911135,2.5000000000000124,0.964316120844242,0.09972725307627807,0.01562552372241629,6.289523567174972,0.0,0.0,0.7578618987997344,0.7578618987997344,-2.2064700792350505,-4.0650076644661155,3.211869880790531,3.1803608405911135,-3.071315426389056,-0.029155592983049594,0.1288428889352167,0.0
18.85,-2.32092410567305,-4.181874305946777,3.267605581892607,-3.0155797252869796,0.30715772540811537,3.2194246498971544,2.4999999999999893,0.9888711525852281,0.10101703358329335,0.015438186447569247,6.305149090897388,0.0,0.0,0.7719450665727329,0.7719450665727329,-2.2563181337384144,-4.0688965688774745,3.227030363659906,3.2194246498971544,-3.0561549435196804,-0.04057521823270083,0.13014569022030406,0.0
